商品名稱A,商品名稱B,商品網址A,價格A,商品網址B,價格B,搜尋詞,label,LLM result
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖琥珀)VW31704,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22438706165756,3948,眼鏡,o,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【PChome 24h購物】瑞士SHADEZ 兒童太陽眼鏡 櫻花粉(年齡7-15)SHZ-15,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22428980851627,720,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(黑+紅紫)VW31703,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22447291376726,8400,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【PChome 24h購物】瑞士SHADEZ 兒童太陽眼鏡 海洋藍(年齡7-15)SHZ-06,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22428980963250,720,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【優選國際購】老人眼鏡 老花鏡 高檔水晶老花鏡中老年高清50到60歲防藍光抗疲勞男折疊老花眼鏡女,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22404687545276,707,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【優選國際購】防疫用品 護目鏡 高清透明防霧護目鏡防飛沫飛濺防塵防風防護騎行勞保眼鏡男女鏡2,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22404685779598,82,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【PChome 24h購物】瑞士SHADEZ 兒童太陽眼鏡 海洋藍(年齡7-15)SHZ-06,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22428980963250,720,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【優選國際購】防疫用品 護目鏡 護目鏡勞保防打磨飛濺騎行車防風沙灰塵透明防霧平光防護眼鏡男女,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22404686823184,82,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【優選國際購】防疫用品 護目鏡 高清透明防霧護目鏡防飛沫飛濺防塵防風防護騎行勞保眼鏡男女鏡2,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22404685779598,82,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【優選國際購】防疫用品 護目鏡 高清透明防霧護目鏡防飛沫飛濺防塵防風防護騎行勞保眼鏡男女鏡2,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22404685779598,82,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【免運＋促銷】老人眼鏡 老花鏡 老花鏡男遠近兩用中老年高清高檔時尚超輕老花眼鏡女防藍光防輻射,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22413148387968,504,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【優選國際購】護目鏡 護目鏡騎行防沖擊防風沙工業打磨灰塵飛濺男女勞保透明防護眼鏡,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22404669204492,128,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【優選國際購】防疫用品 護目鏡 護目鏡防風沙防護防塵眼鏡男士騎車風鏡防灰塵騎行擋風勞保防霧,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22404687160561,180,眼鏡,x,否
【PChome 24h購物】Vivienne Westwood 英國薇薇安魏斯伍德多彩幾何造型光學眼鏡(咖啡紅)VW31702,【優選國際購】防疫用品 護目鏡 護目鏡高清防飛沫飛濺男女騎行透明防塵防風沙勞保平光防護眼鏡,https://www.ruten.com.tw/item/show?22447291376861,8400,https://www.ruten.com.tw/item/show?22404685791558,171,眼鏡,x,否
