商品名稱A,商品名稱B,商品網址A,價格A,商品網址B,價格B,搜尋詞,label,LLM result
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22433332454375,298,USB,o,是
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,限時下殺 1T2T超低價隨身碟USB3.0高速2t隨身碟1TU盤手機電腦兩用2tb大容量1T優盤1000g官方,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22433331393275,205,USB,x,否
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,手搖發電機收音機USB充電電子點火器照明解壓玩具應急充電器便攜,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22443072805221,1081,USB,x,否
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,全場免運胎壓偵測器胎壓監測器安卓大屏導航汽車TPMS智能輪胎USB內置外置無線檢測儀胎壓監測器  露,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22401522625270,1080,USB,x,否
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,現貨 USB藍牙接收器 藍牙適配器 外接藍牙 藍牙傳輸器 藍芽接收器 電腦藍芽接收器 滑鼠鍵盤藍牙接收器 音頻,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22431214515796,271,USB,x,否
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,玄關燈 櫥櫃燈 床頭燈 小夜燈 充電感應燈 智能感應燈 LED人體感應燈感應小夜燈USB充電人體小夜燈智能感應磁吸走廊臥,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22433331389641,48,USB,x,否
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,【藍牙5.0】 藍芽接收器 藍牙接收器 USB接收器 電腦無線連接藍牙 發射器 接收器｜TCDC41,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22218871742981,99,USB,x,否
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,【藍芽適配器】藍芽發射器 藍芽接收器 倍思USB藍牙適配器5.1臺式機電腦筆記本藍牙音頻發射器接耳機音箱,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22431240564395,682,USB,x,否
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,限時下殺 1T2T超低價隨身碟USB3.0高速2t隨身碟1TU盤手機電腦兩用2tb大容量1T優盤1000g官方,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22433331393275,205,USB,x,否
藍芽播放器車載藍芽接收器MP3播放器5.0無損多功能usb汽車用品帶充電器,【小雲國際購】白色usb3.0延長線公對母數據加長線1/3/5米電腦鼠標鍵盤U盤移動硬盤打印機車載加長數據線電源充,https://www.ruten.com.tw/item/show?22346172248089,321,https://www.ruten.com.tw/item/show?22412123631524,165,USB,x,否
